Malaysia,Singapore,New Case in My,New Case in Sg
323763,60105,1354,17
324971,60117,1208,12
327253,60137,2282,20
330042,60167,2789,30
331713,60184,1671,17
333040,60196,1327,12
335540,60221,2500,25
338168,60253,2628,32
340642,60288,2474,35
342885,60321,2243,33
344018,60347,1133,26
346678,60407,2660,60
347972,60450,1294,43
349610,60468,1638,18
352029,60495,2419,27
354468,60554,2439,59
355753,60575,1285,21
357607,60601,1854,26
360856,60653,3249,52
363940,60692,3084,39
365829,60719,1889,27
367977,60735,2148,16
370528,60769,2551,34
372859,60808,2331,39
375054,60831,2195,23
379473,60865,4419,34
384688,60904,5215,39
390252,60966,5564,62
392942,61006,2690,40
395718,61051,2776,45
398451,61063,2733,12
401593,61086,3142,23
404925,61121,3332,35
408713,61145,3788,24
411594,61179,2881,34
415012,61218,3418,39
420632,61252,5620,34
424376,61268,3744,16
427927,61286,3551,18
432425,61311,4498,25
436944,61331,4519,20
440677,61359,3733,28
444484,61378,3807,19
448457,61403,3973,25
458077,61451,9620,48
462190,61505,4113,54
466330,61536,4140,31
470110,61585,3780,49
474556,61613,4446,28
479421,61651,4865,38
485496,61689,6075,38
492302,61730,6806,41
512091,61824,19789,94
518600,61860,6509,36
525889,61890,7289,30
533367,61916,7478,26
541224,61940,7857,24
549514,61970,8290,30
558534,62003,9020,33
565533,62028,6999,25
572357,62051,6824,23
579462,62069,7105,18
587165,62100,7703,31
595374,62145,8209,45
603122,62158,7748,13
610574,62176,7452,18
616815,62196,6241,20
627652,62219,10837,23
633891,62223,6239,4
639562,62236,5671,13
646411,62245,6849,9
652204,62263,5793,18
657508,62276,5304,13
662457,62301,4949,25
667876,62315,5419,14
673026,62339,5150,24
678764,62366,5738,27
685204,62382,6440,16
691115,62403,5911,21
696408,62414,5293,11
701019,62430,4611,16
705762,62448,4743,18
711006,62470,5244,22
716847,62493,5841,23
722659,62513,5812,20
728462,62530,5803,17
734048,62544,5586,14
739266,62553,5218,9
745703,62563,6437,10
751979,62579,6276,16
758967,62589,6988,10
765949,62599,6982,10
772607,62606,6658,7
778652,62617,6045,11
785039,62630,6387,13
792693,62640,7654,10
799790,62652,7097,12
808658,62668,8868,16
817838,62678,9180,10
827191,62684,9353,6
836296,62692,9105,8
844870,62718,8574,26
855949,62744,11079,26
880782,62852,24833,108
905851,62981,25069,129
916561,63073,10710,92
927544,63245,10983,172
939899,63440,12355,195
980491,63924,40592,484
996393,64054,15902,130
1013438,64179,17045,125
1027954,64314,14516,135
1044071,64453,16117,139
1061476,64589,17405,136
1078646,64722,17170,133
1095486,64861,16840,139
1113272,64981,17786,120
1130422,65102,17150,121
1146186,65213,15764,111
1163291,65315,17105,102
1183110,65410,19819,95
1203706,65508,20596,98
1224595,65605,20889,97
1243852,65686,19257,81
1262540,65764,18688,78
1279776,65836,17236,72
1299767,65890,19991,54
1320547,65953,20780,63
1342215,66012,21668,59
1363683,66061,21468,49
1384353,66119,20670,58
1424639,66225,40286,106
1444270,66281,19631,56
1466512,66334,22242,53
1489460,66366,22948,32
1513024,66406,23564,40
1535286,66443,22262,37
1555093,66478,19807,35
1593602,66692,38509,214
1616244,66812,22642,120
1640843,66928,24599,116
1662913,67050,22070,122
1685510,67171,22597,121
1706089,67304,20579,133
1725357,67459,19268,155
1746254,67620,20897,161
1765016,67620,18762,0
1805382,68210,40366,590
1824439,68469,19057,259
1844835,68660,20396,191
1919774,70039,74939,1379
1940950,70612,21176,573
1960500,71167,19550,555
2030935,73938,70435,2771
2049750,74848,18815,910
2067327,75783,17577,935
2112175,78721,44848,2938
2127934,79899,15759,1178
2142924,81356,14990,1457
